,title,company,salary,summary
49,Assistant Data Analyst - VA343,HCML,"£24,000 - £32,000 a year",Responsible for providing accurate data & reports to customers.Identify and extract data to support future machine learning opportunities.
50,Graduate Data Analyst Intern - NHS,Inspiring Interns,"£24,000 a year",The Business Intelligence Analyst will support the department in extracting data and building reports from a range of sources – both internal and external and…
51,Data Analyst Apprentice,QA Apprenticeships,"£17,000 - £19,000 a year","Internal teams who own, create and access data.The Data Apprentice will be expected to pick up, manage and deliver specific pieces of work across the data and…"
52,Data Analyst,Victoria and Albert Museum,"£40,000 - £44,000 a year","This is a fixed term role for 8 months, focused on delivering all data migration requirements for the project to replace the existing Retail (NAV 2013) and…"
53,Analyst,NHS England and NHS Improvement,"£40,057 - £45,839 a year",The role will work within the Improvement Analytics group (and as part of the wider data & analytics community across the organisation) to agree statistical…
54,Data Analyst,Uniting People,£400 - £420 a day,"_• Acquire data from primary or secondary data sources and maintain databases/data systems_._• Develop and implement databases, data collection systems, data…"
55,Research Analyst,Chambers & Partners,"£25,000 a year",Interviewing in-house counsel and other third-party experts by telephone or via an online questionnaire.Analysing the data collected during the research phase…
56,Data Analyst - Supply Chain,Burberry,,Strong data management and analytical skills.Supporting the broader traceability programme team on data requirements and analysis.
57,Data & Insights Analyst,Human Fertilisation and Embryology Authority,"£35,829 a year","They champion use of our data internally to inform policy decisions to improve the way we regulate, as well as externally through publications, public enquiries…"
58,Free Data Analyst Bootcamp,UpSkill Digital,,"Collect data via a range of different tools and methods.Store data securely and in-line with GDPR policies.Utilise R, Python, SQL and Excel to analyse data."
59,Junior Data Analyst,Robert Half,£12 - £15 an hour,"Robert Half are partnering with a global consultancy who are looking to recruit at Junior Data Analyst with strong experience around CSV, paying £12-£15 an hour…"
